31657,8762957
31657,31707
36757,188707
36757,102907
36757,8763507
36757,8767357
37957,718757
65907,43507
65907,16857
65907,1659807
65907,188707
65907,102907
65907,5355757
65907,3318157
65907,3321507
65907,673657
65907,8765757
65907,124907
65907,4375807
65907,8762957
65907,8763507
65907,1576507
65907,2824957
65907,8765707
65907,2912507
65907,1220757
65907,5803257
65907,262607
65907,8765257
65907,8765357
65907,789757
66007,66057
66007,188707
66007,66107
66007,2594557
66007,4011457
66007,8789207
66007,915207
66007,66157
66007,8773957
66007,8789257
66007,66257
66007,923007
66007,66207
66007,66357
66007,219907
66007,1659807
75857,102907
76857,124907
76857,8765257
76857,188707
76857,2912507
83707,3369907
83707,1220957
83707,83807
83707,84157
83707,1119807
83707,1576507
83707,4136907
83707,8797157
83707,1753307
83707,2912507
83707,84807
83707,84857
83707,84907
83707,718707
83707,124907
83707,8797207
85457,718757
85457,780657
85457,85707
85457,124907
90607,1627807
94157,102907
94157,188707
8803307,8764407
8803307,16857
105907,8765257
105907,789757
105907,8765357
105907,102907
105907,188707
105907,1576507
105907,8765707
105907,2912507
105907,2824957
105907,8805607
121957,1020157
121957,5803257
121957,122057
121957,6766657
121957,3937757
121957,8810707
121957,7279657
121957,673657
121957,122107
121957,124907
153757,636657
153757,8806107
153757,8815807
119157,8817957
119157,3125507
119157,907707
119157,695107
119157,185757
119157,8765057
119157,8818007
194557,8820157
194557,8762957
194557,124907
194557,4375807
194557,188707
194557,102907
199307,102907
210007,188707
210007,102907
201607,218557
201607,2835207
201607,543457
201607,51657
221507,102907
221507,8767457
221507,15107
221507,188707
221507,124907
149907,782107
149907,188707
149907,8765657
149907,63857
149907,188007
149907,424857
149907,222257
149907,15107
149907,8832907
149907,3175707
174357,8778257
174357,1251657
174357,8767607
174357,124907
228607,7169207
228607,4755107
228607,8838257
228607,1869107
228607,8511107
228607,2458457
228607,8765357
228607,789757
228607,124907
234357,3006107
234357,3757
234357,124907
234357,5906707
234357,5036607
234357,789757
234357,8840107
234357,8765707
234357,2912507
234357,234457
235957,124907
205157,204207
205157,8843307
205157,102907
205157,188707
93807,295007
93807,188707
93807,80957
93807,15107
93807,188007
93807,923007
375557,102907
375557,188707
375557,124907
98407,8860507
98407,384457
98407,52407
98407,384657
98407,384757
98407,1758457
98407,3942807
98407,1278157
98407,97957
98407,81607
98407,6899157
98407,3034607
185307,1659807
185307,4158657
185307,8766857
